protein1,protein2,weight
KRAS,KRAS,0.06969736
KRAS,RAF1,0.06969736
KRAS,ARAF,0.59037783
KRAS,BRAF,-0.206658978
RAF1,MAP2K1,0.0000001
RAF1,MAP2K2,0.0000001
MAP2K1,MAPK1,0.336601987
MAP2K2,MAPK1,0.336601987
MAP2K1,MAPK3,-0.440141675
MAP2K2,MAPK3,-0.440141675
MAPK1,ELK1,-0.384688276
MAPK3,ELK1,-0.384688276
ELK1,AP001258.4,-1.588161835
ELK1,CRNDE,-0.738703032
ELK1,CTA-384D8.35,-1.985397238
ELK1,FOS,-1.000232203
ELK1,LINC00511,-0.492410998
ELK1,LINC00909,-0.467815675
ELK1,LINC00963,-0.407818031
ELK1,LINC01128,-0.270837106
ELK1,LINC01239,-1.381804253
ELK1,LINC01560,-0.704742734
ELK1,NEAT1,-1.290253766
ELK1,PSMB8-AS1,-2.239150756
ELK1,RP1-27K12.2,-2.38238037
ELK1,RP11-11N9.4,-0.843787377
ELK1,RP11-79P5.9,-1.755742345
ELK1,RP4-737E23.2,-3.054326812
ELK1,SNHG19,-0.447649327